id,player_username,game_key,game_type,number_immnunities_fixed_before_deadline
307,A2L2ZXRHK3SNOP,17xA57D5,1,4
308,AVBRJBJONL47I,17xA57D5,1,5
309,A3JGW4RGO86NPX,17xA57D5,1,4
310,A32CRWJESR6AX4,17xA57D5,1,5
311,A1Z9FI2VLIC954,17xA57D5,1,5
312,A2L2ZXRHK3SNOP,18x2EDAB,1,25
313,AVBRJBJONL47I,18x2EDAB,1,25
314,A3JGW4RGO86NPX,18x2EDAB,1,24
315,A32CRWJESR6AX4,18x2EDAB,1,11
316,A1Z9FI2VLIC954,18x2EDAB,1,14
317,A2L2ZXRHK3SNOP,19xFCF62,2,9
318,AVBRJBJONL47I,19xFCF62,2,10
319,A3JGW4RGO86NPX,19xFCF62,2,10
320,A32CRWJESR6AX4,19xFCF62,2,7
321,A1Z9FI2VLIC954,19xFCF62,2,8
322,A2L2ZXRHK3SNOP,20x028D8,2,12
323,AVBRJBJONL47I,20x028D8,2,13
324,A3JGW4RGO86NPX,20x028D8,2,11
325,A32CRWJESR6AX4,20x028D8,2,10
326,A1Z9FI2VLIC954,20x028D8,2,11
327,A3R457FAWQXZN3,21x675B6,1,8
328,anonym1,21x675B6,1,9
329,A340UGIDGIF4W6,21x675B6,1,12
330,anonym2,21x675B6,1,8
331,A3R457FAWQXZN3,22x8FC84,1,16
332,anonym1,22x8FC84,1,15
333,A340UGIDGIF4W6,22x8FC84,1,17
334,anonym2,22x8FC84,1,16
335,anonym1,28x0517E,2,8
336,anonym2,28x0517E,2,8
337,A340UGIDGIF4W6,28x0517E,2,10
338,anonym1,29x53744,2,17
339,anonym2,29x53744,2,11
340,A340UGIDGIF4W6,29x53744,2,17
341,anonym3,30xC7334,1,0
342,anonym4,30xC7334,1,9
343,anonym5,30xC7334,1,1
344,A30J4IZCMCR31F,30xC7334,1,9
345,anonym3,32xF8437,2,0
346,anonym4,32xF8437,2,10
347,anonym5,32xF8437,2,4
348,A30J4IZCMCR31F,32xF8437,2,9
349,anonym3,33x3AF97,2,0
350,anonym4,33x3AF97,2,10
351,anonym5,33x3AF97,2,4
352,A30J4IZCMCR31F,33x3AF97,2,8
353,anonym7,36x7E06E,1,10
354,anonym6,36x7E06E,1,13
355,A3JFIY1QXMX9ZF,36x7E06E,1,12
356,anonym7,37x3CDF1,1,5
357,anonym6,37x3CDF1,1,8
358,A3JFIY1QXMX9ZF,37x3CDF1,1,3
359,anonym7,38x617B4,2,4
360,anonym6,38x617B4,2,7
361,A3JFIY1QXMX9ZF,38x617B4,2,7
362,anonym7,39x14205,2,8
363,anonym6,39x14205,2,13
364,A3JFIY1QXMX9ZF,39x14205,2,10
365,A35NVKW9R833VF,42x87DA8,1,11
366,A317L37U2W6R4P,42x87DA8,1,12
367,A3AFC26CB0AXMI,42x87DA8,1,0
368,A1D3QRG52OISSR,42x87DA8,1,11
369,A35NVKW9R833VF,43xB1FF3,1,13
370,A317L37U2W6R4P,43xB1FF3,1,12
371,A3AFC26CB0AXMI,43xB1FF3,1,0
372,A1D3QRG52OISSR,43xB1FF3,1,11
373,A35NVKW9R833VF,44x17C0C,2,8
374,A317L37U2W6R4P,44x17C0C,2,8
375,A3AFC26CB0AXMI,44x17C0C,2,0
376,A1D3QRG52OISSR,44x17C0C,2,7
377,A35NVKW9R833VF,45xDFD67,2,12
378,A317L37U2W6R4P,45xDFD67,2,10
379,A3AFC26CB0AXMI,45xDFD67,2,0
380,A1D3QRG52OISSR,45xDFD67,2,8
381,A1CGDMOPDIC7EU,55x381A7,1,10
382,A296HTKGCX7FY9,55x381A7,1,10
383,A1CGDMOPDIC7EU,56x8DF24,1,10
384,A296HTKGCX7FY9,56x8DF24,1,13
385,A1CGDMOPDIC7EU,57x07630,2,13
386,A296HTKGCX7FY9,57x07630,2,14
387,A1CGDMOPDIC7EU,58x16BB7,2,6
388,A296HTKGCX7FY9,58x16BB7,2,6
389,A191V7PT3DQKDP,61xD7195,1,16
390,A14WLAP6TCEKO0,61xD7195,1,9
391,A191V7PT3DQKDP,62x1E92B,1,20
392,A14WLAP6TCEKO0,62x1E92B,1,15
393,A191V7PT3DQKDP,63xE886E,2,15
394,A14WLAP6TCEKO0,63xE886E,2,14
395,A191V7PT3DQKDP,64x6A4B8,2,13
396,A14WLAP6TCEKO0,64x6A4B8,2,13
397,A1NVJB5O4H7ZCJ,67x9A1E8,1,0
398,A36Z8997ZHYFKC,67x9A1E8,1,6
399,A3VBAQB2WO36Q1,67x9A1E8,1,5
400,A1NVJB5O4H7ZCJ,68x5F420,1,6
401,A36Z8997ZHYFKC,68x5F420,1,14
402,A3VBAQB2WO36Q1,68x5F420,1,17
403,A1NVJB5O4H7ZCJ,69x1C2B4,2,4
404,A36Z8997ZHYFKC,69x1C2B4,2,8
405,A3VBAQB2WO36Q1,69x1C2B4,2,7
406,A1NVJB5O4H7ZCJ,70x5900F,2,10
407,A36Z8997ZHYFKC,70x5900F,2,12
408,A3VBAQB2WO36Q1,70x5900F,2,10
